COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,575.916815423607,2.0774932
Albania,4004.12740695725,10.008679
Algeria,4167.01900967391,6.120101
American Samoa,-1.0,-1.0
Andorra,-1.0,10.65
Angola,3486.75310038908,3.99
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,11.143802
Argentina,10181.068967686,10.91
Armenia,3524.89087138158,11.474999
Aruba,22415.9932500023,-1.0
Australia,48732.9249252793,12.17
Austria,42465.7666055794,12.01
Azerbaijan,6051.69706201243,10.57
Azores,-1.0,-1.0
Bahamas,-1.0,12.198545
Bahrain,17356.5283014059,8.889999
Bangladesh,1068.92849745579,5.19
Barbados,14329.1709337387,9.686
Belarus,6842.25522471949,11.665
Belgium,39529.631063782,11.64
Belize,4666.68756456791,9.236744
Benin,1075.70975879193,2.6122
Bermuda,-1.0,-1.0
Bhutan,2135.13950950506,2.956
Bolivia,2386.0346374019,8.676667
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4374.13683703953,9.19
Botswana,5578.06730572636,9.79
Bouvet Island,-1.0,-1.0
Brazil,9242.57787173242,7.38
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,31081.4866043489,-1.0
Bulgaria,6784.31106716898,11.05
Burkina Faso,653.937090156577,1.29
Burundi,175.8240158029,2.03
Cabo Verde,3055.01117644383,-1.0
Cambodia,933.423915213085,3.6
Cameroon,1324.67582866725,5.809855
Canada,41608.0361468204,13.662
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,337.774150004361,3.7156115
Chad,747.247647502473,1.996385
Chile,11572.4128455048,10.135
China,5753.40866780212,7.43826
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,6588.06179685728,7.99
Comoros,1472.79338830556,4.88261
Congo,-1.0,8.039617
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,9894.22372785976,8.75
Côte d'Ivoire,-1.0,-1.0
Croatia,11306.5776711312,11.394281
Cuba,6107.33845362681,11.261034
Curacao,-1.0,-1.0
Cyprus,22521.556640625,11.88
Czech Republic,-1.0,-1.0
Denmark,53755.9090925814,12.39
Djibouti,1861.61600698712,3.1437297
Dominica,6095.65479818139,9.293808
Dominican Republic,5851.7988698244,7.65
Ecuador,4809.21038059958,8.36
Egypt,-1.0,8.332727
El Salvador,3111.70449772027,6.5266666
Equatorial Guinea,4872.22007905306,7.7874336
Eritrea,-1.0,4.64385
Estonia,16276.9113277591,13.44
Eswatini,2794.78295065172,7.016415
Ethiopia,421.357055405354,2.324074
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,4374.06669221678,10.213
Finland,41149.747879756,12.6
France,36234.531197758,11.23
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,5576.50315991082,8.698
Gambia,-1.0,3.6768813
Georgia,4038.98666228965,12.62
Germany,40356.4831200369,14.04
Ghana,1497.36271222078,5.8819504
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,17998.0235215284,10.6
Greenland,-1.0,-1.0
Grenada,-1.0,9.1788025
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,3135.78936835538,5.84
Guernsey,-1.0,-1.0
Guinea,600.095098893471,1.87
Guinea-Bissau,478.557660210972,3.450539
Guyana,4851.67793976158,7.8413925
Haiti,1395.40904962855,5.129226
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1883.32915352082,6.18
Hungary,11223.6997208241,11.77
