COUNTRY,INCOME
Afghanistan,468.403505762558
Albania,4848.49843266129
Algeria,3098.16384106335
American Samoa,-1.0
Andorra,-1.0
Angola,1327.80344902045
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,-1.0
Argentina,8237.6981192802
Armenia,4019.85844444165
Aruba,26027.0171242373
Australia,42130.8946366101
Austria,40712.5753412494
Azerbaijan,3656.14168229445
Azores,-1.0
Bahamas,-1.0
Bahrain,18906.7087821266
Bangladesh,2186.77189399317
Barbados,15878.5251742674
Belarus,5563.11300876083
Belgium,38340.1219991244
Belize,4827.92232250741
Benin,1002.59329761825
Bermuda,-1.0
Bhutan,2913.82294271524
Bolivia,2940.9443192345
Bonaire,-1.0
Bosnia and Herzegovina,5104.82014672678
Botswana,5277.73306330877
Bouvet Island,-1.0
Brazil,6818.4920461384
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,23965.6856969375
Bulgaria,8608.71424825069
Burkina Faso,652.899836364066
Burundi,152.586259145304
Cabo Verde,3334.09287310309
Cambodia,1390.35959003667
Cameroon,1268.70514008161
Canada,37785.7276089272
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,393.023450587441
Chad,496.022884590142
Chile,11461.2031329121
China,7470.11381485915
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,5391.53417486232
Comoros,1403.49390039547
Congo,-1.0
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,11493.0208012993
Côte d'Ivoire,-1.0
Croatia,13113.7613041445
Cuba,7891.25881531488
Curacao,-1.0
Cyprus,24023.439453125
Czech Republic,-1.0
Denmark,50967.6115024073
Djibouti,2423.39556736461
Dominica,7587.30852341223
Dominican Republic,7270.19205065452
Ecuador,4622.75733351035
Egypt,-1.0
El Salvador,3567.95755864773
Equatorial Guinea,2356.55428570265
Eritrea,-1.0
Estonia,19062.7694888207
Eswatini,2664.96216475814
Ethiopia,708.74181914855
Falkland Islands,-1.0
Faroe Islands,-1.0
