COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,484.890589729187,2.2685916
Albania,3707.95938301173,9.98736
Algeria,3256.46032507284,6.480169
American Samoa,-1.0,-1.0
Andorra,-1.0,10.56
Angola,1206.04353662907,5.417391
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,11.446518
Argentina,10789.0752361646,10.93
Armenia,3108.22044979775,11.68974
Aruba,23167.7123061073,-1.0
Australia,39077.6893174716,12.35
Austria,37196.1677474225,12.11
Azerbaijan,3029.30599861744,10.65
Azores,-1.0,-1.0
Bahamas,-1.0,12.371425
Bahrain,17718.3164217207,9.32
Bangladesh,1580.77341984739,6.11
Barbados,14571.0495306811,9.733643
Belarus,4055.47952046963,11.8550005
Belgium,34528.4905949401,11.99
Belize,4904.16882476215,8.908745
Benin,906.433442302871,2.6375666
Bermuda,-1.0,-1.0
Bhutan,2295.34780795426,3.692
Bolivia,2618.28111304376,9.1625
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4098.32302466888,9.69
Botswana,4762.37570666035,10.1
Bouvet Island,-1.0,-1.0
Brazil,6565.20698073027,7.73
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,23292.7197639634,-1.0
Bulgaria,6449.49938128713,11.23
Burkina Faso,574.459498721542,1.6049999
Burundi,160.499497422314,2.5433333
Cabo Verde,2765.95179312679,-1.0
Cambodia,1084.87615830635,3.9520924
Cameroon,1175.44175842773,6.114783
Canada,34318.5449237169,13.73
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,324.013435625676,3.8588684
Chad,503.872863786738,2.090939
Chile,11021.3245444729,10.425
China,6078.48522150407,7.62739
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,5070.85301009397,8.22
Comoros,1241.4932302852,5.163667
Congo,-1.0,8.17579
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,10960.2207741799,8.56
Côte d'Ivoire,-1.0,-1.0
Croatia,10404.4554318407,11.54999
Cuba,6957.90038401156,11.022069
Curacao,-1.0,-1.0
Cyprus,20266.677734375,12.09
Czech Republic,-1.0,-1.0
Denmark,46794.9113692132,13.16
Djibouti,2078.63543542446,3.4656765
Dominica,6902.89062391481,9.531317
Dominican Republic,6501.20771268986,9.04
Ecuador,4784.81780095122,8.69
Egypt,-1.0,8.810909
El Salvador,3266.58347352019,6.72
Equatorial Guinea,3210.78017553487,8.00248
Eritrea,-1.0,4.629006
Estonia,14872.6024166644,13.51
Eswatini,2391.25675788402,7.510977
Ethiopia,547.103751381219,2.42679
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,4408.05424724251,10.491
Finland,35796.9825757404,12.684999
France,31203.694850269,11.35
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,4390.44717149638,9.094
Gambia,-1.0,3.8883607
Georgia,3259.60328349687,12.81
Germany,35663.6788929644,14.13
Ghana,1527.72238549069,6.0165606
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,14903.3049335836,10.25
Greenland,-1.0,-1.0
Grenada,-1.0,9.27124
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,3464.36254798977,5.1201773
Guernsey,-1.0,-1.0
Guinea,558.671871313932,3.03192
Guinea-Bissau,509.150062421926,3.5395374
Guyana,4940.47651505269,8.128291
Haiti,1241.11985680347,5.306577
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,2012.19469966122,6.53
Hungary,10626.0679533009,11.89
Iceland,49914.1793653764,13.46
India,1481.89005549439,5.78789
Indonesia,2782.5246712864,7.98
Iran,-1.0,10.31
Iraq,3430.95675902579,6.6275296
