COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,340.523243575066,2.99
Albania,5943.36134111783,10.175311
Algeria,2809.55559413559,7.416387
American Samoa,-1.0,-1.0
Andorra,-1.0,11.434999
Angola,1231.92513309873,5.956173
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,11.6475
Argentina,9092.08560830429,11.184582
Armenia,3790.56480898451,11.344978
Aruba,24724.8665721459,-1.0
Australia,45710.8904505974,12.78
Austria,43281.7334797461,12.361465
Azerbaijan,3965.42439576196,10.8550005
Azores,-1.0,-1.0
Bahamas,-1.0,12.814419
Bahrain,-1.0,11.075
Bangladesh,2567.44432056871,6.79
Barbados,14760.3025334826,9.928357
Belarus,5812.02174051461,12.335373
Belgium,41743.0142804966,12.689651
Belize,4880.64188231215,8.76229
Benin,1173.28565331485,3.1942
Bermuda,-1.0,-1.0
Bhutan,2945.36081733067,5.8357944
Bolivia,2656.57385905118,10.021223
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,6019.15369598799,10.755
Botswana,5455.5673993521,10.478
Bouvet Island,-1.0,-1.0
Brazil,5775.8395830056,8.425372
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,22736.0067919512,-1.0
Bulgaria,10690.3143634493,11.454531
Burkina Faso,670.055139103883,2.26655
Burundi,150.932567422257,3.4739356
Cabo Verde,3210.02754015386,-1.0
Cambodia,1343.72667633843,5.1971
Cameroon,1377.09223221176,6.5741806
Canada,41986.2328595884,13.87
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,417.433814182588,3.9894314
Chad,468.646631606942,2.3349848
Chile,11116.895712123,11.291054
China,9015.34800413676,8.036181
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,5127.30925580657,9.031582
Comoros,1452.96197891214,5.8663116
Congo,-1.0,8.322645
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,11172.4316041155,8.844752
Côte d'Ivoire,-1.0,-1.0
Croatia,14553.4842135772,12.095121
Cuba,-1.0,10.631489
Curacao,-1.0,-1.0
Cyprus,24104.8046875,12.557372
Czech Republic,-1.0,-1.0
Denmark,58796.3599323691,13.027321
Djibouti,2747.30046170044,3.9504151
Dominica,7024.40189092386,10.12509
Dominican Republic,7364.09894472623,9.444526
Ecuador,4420.8252862934,9.11
Egypt,-1.0,10.13612
El Salvador,3710.6608174124,7.2000003
Equatorial Guinea,2709.30529166796,8.281327
Eritrea,-1.0,5.0913644
Estonia,22462.3647535878,13.562166
Eswatini,2886.40997620246,8.48564
Ethiopia,786.584764773159,2.4025397
Falkland Islands,-1.0,-1.0
