COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,-1.0,1.3670491
Albania,1308.21655164817,8.885714
Algeria,1346.49756886068,5.7574306
American Samoa,-1.0,-1.0
Andorra,-1.0,9.984091
Angola,553.306685097135,3.5051918
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,9.45723
Argentina,1987.6868785557,9.395
Armenia,644.454272672448,10.559999
Aruba,17619.8718578546,-1.0
Australia,16161.3183536818,11.397747
Austria,21920.5219775302,11.287857
Azerbaijan,572.633618191897,10.38
Azores,-1.0,-1.0
Bahamas,-1.0,11.2039995
Bahrain,9323.6759666618,8.305555
Bangladesh,376.716240175324,4.48
Barbados,10165.3018005534,9.201285
Belarus,1261.96685721397,10.557316
Belgium,21180.8623691088,10.735822
Belize,3835.01887836952,7.5135713
Benin,463.440461099127,2.46
Bermuda,-1.0,-1.0
Bhutan,738.853681345557,-1.0
Bolivia,767.484529924721,7.1480002
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,1565.22634756478,6.6392074
Botswana,2339.13877262942,7.878
Bouvet Island,-1.0,-1.0
Brazil,2305.23975607041,5.626089
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,12463.5812669528,-1.0
Bulgaria,1857.50532570537,10.116
Burkina Faso,264.275067234592,-1.0
Burundi,73.8987474756856,2.1066668
Cabo Verde,1139.85651092909,-1.0
Cambodia,299.714194629972,3.4984543
Cameroon,628.321789064875,3.136442
Canada,19537.081005585,12.792
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,226.546241392826,2.7382007
Chad,179.588650555802,1.3801051
Chile,3620.26407967691,9.423992
China,965.113619143611,6.308
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,1992.91342971322,6.966364
Comoros,702.813889680505,3.0299985
Congo,-1.0,7.358745
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,3637.34136184061,7.7567115
Côte d'Ivoire,-1.0,-1.0
Croatia,5076.67741634806,10.051001
