COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,548.968454484921,2.12431
Albania,3457.09318853429,9.99802
Algeria,3319.13216755697,6.3001347
American Samoa,-1.0,-1.0
Andorra,-1.0,10.57
Angola,2371.99561912402,5.31563
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,11.29516
Argentina,11668.4363712122,10.92
Armenia,3150.66954352232,11.57
Aruba,23278.8227270299,-1.0
Australia,44512.5960291842,12.25
Austria,35811.6857751508,12.08
Azerbaijan,4460.30160976384,10.57
Azores,-1.0,-1.0
Bahamas,-1.0,12.284681
Bahrain,17082.5308115239,9.105
Bangladesh,1194.18010735624,5.99
Barbados,14307.7342094805,9.694285
Belarus,4824.41947817156,11.76
Belgium,33799.7398337937,11.89
Belize,4961.38964260391,8.92343
Benin,898.797038110268,2.6248834
Bermuda,-1.0,-1.0
Bhutan,2194.6011468468,3.324
Bolivia,2532.41450619948,8.93
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,3879.89630865561,9.29
Botswana,4758.55927652216,10.02
Bouvet Island,-1.0,-1.0
Brazil,6666.74707912629,7.51
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,25218.0237279933,-1.0
Bulgaria,5981.3406941062,11.19
Burkina Faso,543.146065748372,1.4475
Burundi,202.04507771664,2.2866666
Cabo Verde,2650.49956946691,-1.0
Cambodia,993.640744646188,3.67
Cameroon,1147.73392152592,5.962319
Canada,35364.1191071783,13.696
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,305.445500013408,3.8352942
Chad,577.548394358774,2.043662
Chile,11170.854810558,10.26
China,6012.71864865345,7.532825
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,5260.86877592388,8.05
Comoros,1206.76011016136,5.0231385
Congo,-1.0,8.1571
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,10614.1573852259,8.58
Côte d'Ivoire,-1.0,-1.0
Croatia,10121.6496488278,11.417611
Cuba,6645.26682733875,11.141551
Curacao,-1.0,-1.0
Cyprus,19823.45703125,11.87
Czech Republic,-1.0,-1.0
Denmark,45798.0298023193,12.64
Djibouti,2043.60697657073,3.304703
Dominica,6321.03152199957,9.412562
Dominican Republic,6214.21529030718,7.72
Ecuador,4854.42931060635,8.7
Egypt,-1.0,8.571818
El Salvador,3205.960986523,6.623333
Equatorial Guinea,3844.05152527396,7.8949566
Eritrea,-1.0,4.636428
Estonia,14040.886020332,13.49
Eswatini,2581.36607070639,7.317201
Ethiopia,478.103253544339,2.375432
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,4142.13590456672,10.352
Finland,35093.9146397102,12.63
France,30908.6863304649,11.33
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,4577.10393685868,8.98
Gambia,-1.0,3.782621
Georgia,3333.06125104763,12.715
Germany,34656.4419057496,14.08
Ghana,1358.92629645382,5.912621
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,15044.3744393706,10.74
Greenland,-1.0,-1.0
Grenada,-1.0,9.225021
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,3352.76753512277,4.93357
Guernsey,-1.0,-1.0
Guinea,601.536159498642,2.45096
Guinea-Bissau,454.644810319564,3.4950383
Guyana,5104.30054902849,7.984842
Haiti,1355.407266778,5.230854
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1996.39078542217,6.29
Hungary,10029.1474244769,11.85
Iceland,42267.3124700422,13.37
India,1384.91262482343,5.690312
Indonesia,2534.72294699095,7.91
Iran,-1.0,10.215
Iraq,3504.84662237963,6.5973597
Ireland,34222.8299161341,11.286667
