COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,566.66810049764,1.9370431
Albania,3753.96548548714,9.8
Algeria,4080.70848289799,5.58
American Samoa,-1.0,-1.0
Andorra,-1.0,10.559999
Angola,2463.65471862411,3.868798
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,10.695868
Argentina,10604.5815493984,10.7
Armenia,2999.03360449679,11.19
Aruba,20565.9352608544,-1.0
Australia,48363.1354657542,12.12
Austria,42625.237354533,11.71
Azerbaijan,4784.73945434209,10.61
Azores,-1.0,-1.0
Bahamas,-1.0,11.943745
Bahrain,13337.4297215466,8.245
Bangladesh,826.613898000825,5.2
Barbados,13877.0041834251,9.661142
Belarus,5460.29589525563,11.38
Belgium,38266.9837421049,11.47
Belize,4048.75840594849,10.176686
Benin,919.350508736559,2.57415
Bermuda,-1.0,-1.0
Bhutan,2040.56599754145,2.2887266
Bolivia,1845.87183011161,7.94
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4300.62730357366,7.24
Botswana,5818.83832319059,9.1
Bouvet Island,-1.0,-1.0
Brazil,10260.0808435099,7.01
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,31018.0303668451,-1.0
Bulgaria,6408.16262013239,10.78
Burkina Faso,600.747705810979,1.1571429
Burundi,140.049419442283,2.23
Cabo Verde,3062.31679422316,-1.0
Cambodia,768.894933595353,3.804
Cameroon,1182.03954352693,5.3524637
Canada,42617.9740602834,13.56
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,477.610260002907,3.3565626
Chad,673.451211042858,1.8545539
Chile,10496.0426627319,9.54
China,4132.67220088012,7.154565
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,5701.33859971386,7.52
Comoros,1399.4656356756,4.4443965
Congo,-1.0,7.6871653
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,8427.83167297772,8.35
Côte d'Ivoire,-1.0,-1.0
Croatia,11677.725467625,11.14
Cuba,5164.66688174092,11.367
Curacao,-1.0,-1.0
Cyprus,29378.478515625,11.58
Czech Republic,-1.0,-1.0
Denmark,51361.5018162591,12.47
Djibouti,1070.89354675224,2.6851149
Dominica,5887.15492757573,8.937545
Dominican Republic,5351.05589654478,7.33
Ecuador,3771.61696752517,7.91
Egypt,-1.0,7.6154547
El Salvador,2954.68864353241,6.21
Equatorial Guinea,3893.13011408143,7.46637
Eritrea,485.382935022903,4.666127
Estonia,13704.931508402,13.4
Eswatini,3025.84324569895,6.1140566
Ethiopia,249.691552051196,2.17
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,3492.57027940076,9.796
Finland,41789.9558751726,12.46
France,37189.4419013323,10.85
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,4297.65408936601,7.852
Gambia,-1.0,3.3056123
Georgia,3350.54534254737,12.442
Germany,39563.8173328957,13.93
Ghana,1148.73593365797,5.7899384
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,20268.8399137972,10.3075
Greenland,-1.0,-1.0
Grenada,-1.0,9.040842
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,2672.85395564643,4.6083336
Guernsey,-1.0,-1.0
Guinea,517.110478730222,1.6525
Guinea-Bissau,557.937013298595,3.0082755
Guyana,4143.23037146601,7.4110446
Haiti,1253.13558218276,4.8243423
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1845.24130339683,5.58
Hungary,10941.7200402543,11.92
