COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,497.406028699116,2.4128733
Albania,4047.11097478598,9.9767
Algeria,3295.65116785339,6.6602025
American Samoa,-1.0,-1.0
Andorra,-1.0,10.735001
Angola,1500.33574073929,5.5210996
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,11.597876
Argentina,12508.8260126261,11.015
Armenia,3475.20434794516,11.19
Aruba,23716.2378742097,-1.0
Australia,42069.0851472692,12.32
Austria,38441.7327185494,12.16
Azerbaijan,3226.15244834145,10.64
Azores,-1.0,-1.0
Bahamas,-1.0,12.458781
Bahrain,18086.8066139931,9.59
Bangladesh,1712.10431001292,6.27
Barbados,15021.3335450196,9.773
Belarus,4690.77961248574,11.95
Belgium,36341.1910737419,12.24
Belize,4791.12050819095,8.894058
Benin,937.835739956926,2.65025
Bermuda,-1.0,-1.0
Bhutan,2610.16190856802,4.06
Bolivia,2764.05701052722,9.395
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4436.29409224332,9.75
Botswana,5052.44172680895,10.18
Bouvet Island,-1.0,-1.0
Brazil,7642.22874304387,7.85
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,23827.9330041093,-1.0
Bulgaria,7250.14239206952,11.24
Burkina Faso,613.286785628855,1.7624999
Burundi,160.789595809912,2.8
Cabo Verde,2939.13321347729,-1.0
Cambodia,1181.81812652387,4.2341847
Cameroon,1213.08855245072,6.2672462
Canada,36906.3117171091,13.757999
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,376.674065005796,3.8824422
Chad,456.353487701057,2.138216
Chile,11698.3022160323,10.59
China,6658.94373473479,7.7219553
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,5446.60777873774,8.360001
Comoros,1298.83329643892,5.304196
Congo,-1.0,8.194481
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,11011.3110592154,8.64
Côte d'Ivoire,-1.0,-1.0
Croatia,11582.540419919,11.633748
Cuba,7366.41625405971,10.902586
Curacao,-1.0,-1.0
Cyprus,22294.205078125,12.184999
Czech Republic,-1.0,-1.0
Denmark,49220.8039134769,13.009999
Djibouti,2103.25564596041,3.62665
Dominica,6608.9464491461,9.650072
Dominican Republic,6727.57889363669,8.981827
Ecuador,4822.27933125507,8.77
Egypt,-1.0,9.05
El Salvador,3329.51805435167,6.83
Equatorial Guinea,2864.50461385297,8.1100025
Eritrea,-1.0,4.621584
Estonia,16600.9007484689,13.56
Eswatini,2764.21100697621,7.7047524
Ethiopia,595.983941030785,2.4110367
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,4635.24911366471,10.63
Finland,37839.3424389457,12.74
France,32666.6125618741,11.41
French Guiana,-1.0,-1.0
